,RMSE
"(1, 1, 1)(0, 0, 0, 12)",0.3654614984954705
"(1, 2, 1)(0, 0, 0, 12)",0.3610451443663358
"(1, 1, 2)(0, 0, 0, 12)",0.3478513298711436
"(1, 2, 2)(0, 0, 0, 12)",0.3653575120445813
"(1, 1, 3)(0, 0, 0, 12)",0.3486540536091318
"(1, 2, 3)(0, 0, 0, 12)",0.3507915063915417
"(1, 1, 4)(0, 0, 0, 12)",0.3508800613029817
"(1, 2, 4)(0, 0, 0, 12)",0.3509066130702446
"(1, 1, 5)(0, 0, 0, 12)",0.34268359240285495
"(1, 2, 5)(0, 0, 0, 12)",0.3575298110550869
"(1, 1, 7)(0, 0, 0, 12)",0.3738674897572551
"(1, 2, 7)(0, 0, 0, 12)",0.35103093775134536
"(2, 1, 1)(0, 0, 0, 12)",0.34403731270331084
"(2, 2, 1)(0, 0, 0, 12)",0.34955144540181454
"(2, 1, 2)(0, 0, 0, 12)",0.3405722402919158
"(2, 2, 2)(0, 0, 0, 12)",0.3435785956466874
"(2, 1, 3)(0, 0, 0, 12)",0.34883305283284016
"(2, 2, 3)(0, 0, 0, 12)",0.2971179715030399
"(2, 1, 4)(0, 0, 0, 12)",0.33112278580383153
"(2, 2, 4)(0, 0, 0, 12)",0.33292645546332894
"(2, 1, 5)(0, 0, 0, 12)",0.33014694927638377
"(2, 2, 5)(0, 0, 0, 12)",0.33155050591195195
"(2, 1, 7)(0, 0, 0, 12)",0.34003798939443913
"(2, 2, 7)(0, 0, 0, 12)",0.3545365536979942
"(3, 1, 1)(0, 0, 0, 12)",0.3425879023520714
"(3, 2, 1)(0, 0, 0, 12)",0.34551370679941484
"(3, 1, 2)(0, 0, 0, 12)",0.36210002212363035
"(3, 2, 2)(0, 0, 0, 12)",0.3508147383755833
"(3, 1, 3)(0, 0, 0, 12)",0.29904531939070134
"(3, 2, 3)(0, 0, 0, 12)",0.3476432367350951
"(3, 1, 4)(0, 0, 0, 12)",0.33027104512853767
"(3, 2, 4)(0, 0, 0, 12)",0.33427464354180697
"(3, 1, 5)(0, 0, 0, 12)",0.34462727303503415
"(3, 2, 5)(0, 0, 0, 12)",0.30526217388214055
"(3, 1, 7)(0, 0, 0, 12)",0.3473106310845724
"(3, 2, 7)(0, 0, 0, 12)",0.34769462441037746
"(5, 1, 1)(0, 0, 0, 12)",0.3435453277929127
"(5, 2, 1)(0, 0, 0, 12)",0.34250912137647577
"(5, 1, 2)(0, 0, 0, 12)",0.3419450633970812
"(5, 2, 2)(0, 0, 0, 12)",0.3454415135653091
"(5, 1, 3)(0, 0, 0, 12)",0.3419125957987252
"(5, 2, 3)(0, 0, 0, 12)",0.3328673616685936
"(5, 1, 4)(0, 0, 0, 12)",0.3351148362488549
"(5, 2, 4)(0, 0, 0, 12)",0.3326422452687451
"(5, 1, 5)(0, 0, 0, 12)",0.3013792460975336
"(5, 2, 5)(0, 0, 0, 12)",0.30504281709219944
"(5, 1, 7)(0, 0, 0, 12)",0.3031675671504122
"(5, 2, 7)(0, 0, 0, 12)",0.30113649191289893
"(7, 1, 1)(0, 0, 0, 12)",0.33823301983709847
"(7, 2, 1)(0, 0, 0, 12)",0.3391979289747678
"(7, 1, 2)(0, 0, 0, 12)",0.32730555927293936
"(7, 2, 2)(0, 0, 0, 12)",0.33921725077492554
"(7, 1, 3)(0, 0, 0, 12)",0.3362958498923819
"(7, 2, 3)(0, 0, 0, 12)",0.3086810814945986
"(7, 1, 4)(0, 0, 0, 12)",0.3481154519538276
"(7, 2, 4)(0, 0, 0, 12)",2.547784532819359e+28
"(7, 1, 5)(0, 0, 0, 12)",0.30454629248790527
"(7, 2, 5)(0, 0, 0, 12)",0.2981432548006511
"(7, 1, 7)(0, 0, 0, 12)",0.27799546754810944
"(7, 2, 7)(0, 0, 0, 12)",0.31114903414287537
"(1, 1, 1)(0, 1, 0, 12)",0.24343212562800953
"(1, 2, 1)(0, 1, 0, 12)",0.6356269698894177
"(1, 1, 2)(0, 1, 0, 12)",0.22883000998711756
"(1, 2, 2)(0, 1, 0, 12)",0.8947748482865309
"(1, 1, 3)(0, 1, 0, 12)",0.2614691830855191
"(1, 2, 3)(0, 1, 0, 12)",0.8877353991266682
"(1, 1, 4)(0, 1, 0, 12)",0.3646377791903736
"(1, 2, 4)(0, 1, 0, 12)",0.8950575669850529
"(1, 1, 5)(0, 1, 0, 12)",0.3290794435380849
"(1, 2, 5)(0, 1, 0, 12)",0.23429964336292758
"(1, 1, 7)(0, 1, 0, 12)",0.5900265195938775
"(1, 2, 7)(0, 1, 0, 12)",0.2107302117006033
"(2, 1, 1)(0, 1, 0, 12)",0.2207456957474562
"(2, 2, 1)(0, 1, 0, 12)",0.769381083943897
"(2, 1, 2)(0, 1, 0, 12)",0.3212419195114705
"(2, 2, 2)(0, 1, 0, 12)",0.8643682927690248
"(2, 1, 3)(0, 1, 0, 12)",0.19708279367533077
"(2, 2, 3)(0, 1, 0, 12)",0.84308954729779
"(2, 1, 4)(0, 1, 0, 12)",0.19574367916797658
"(2, 2, 4)(0, 1, 0, 12)",0.22983763122887743
"(2, 1, 5)(0, 1, 0, 12)",0.30106843541055606
"(2, 2, 5)(0, 1, 0, 12)",0.23894335603529995
"(2, 1, 7)(0, 1, 0, 12)",0.592275898992164
"(2, 2, 7)(0, 1, 0, 12)",0.29387339887260017
"(3, 1, 1)(0, 1, 0, 12)",0.22691336052173408
"(3, 2, 1)(0, 1, 0, 12)",0.8171894165693476
"(3, 1, 2)(0, 1, 0, 12)",0.29813819536757996
"(3, 2, 2)(0, 1, 0, 12)",1.2467684135921875
"(3, 1, 3)(0, 1, 0, 12)",0.2121290910918852
"(3, 2, 3)(0, 1, 0, 12)",0.8711974767876549
"(3, 1, 4)(0, 1, 0, 12)",0.2049712728665074
"(3, 2, 4)(0, 1, 0, 12)",0.8462781848448604
"(3, 1, 5)(0, 1, 0, 12)",0.34562762895016186
"(3, 2, 5)(0, 1, 0, 12)",1.0354254661279576
"(3, 1, 7)(0, 1, 0, 12)",0.3356438075962002
"(3, 2, 7)(0, 1, 0, 12)",0.28300000437845996
